Value	Price	Square_Footage	Number_Bedrooms
1.304400000e+002	1.215400000e+002	1.530000000e+001	2.000000000e+000
1.181300000e+002	1.329800000e+002	1.700000000e+001	3.000000000e+000
1.309800000e+002	1.475300000e+002	1.980000000e+001	4.000000000e+000
1.313300000e+002	1.284900000e+002	1.590000000e+001	2.000000000e+000
1.411000000e+002	1.419300000e+002	1.740000000e+001	3.000000000e+000
1.178700000e+002	1.235500000e+002	1.730000000e+001	3.000000000e+000
1.605800000e+002	1.620300000e+002	2.100000000e+001	5.000000000e+000
1.511000000e+002	1.573900000e+002	2.040000000e+001	4.000000000e+000
1.201500000e+002	1.145500000e+002	1.730000000e+001	2.000000000e+000
1.331700000e+002	1.395400000e+002	1.680000000e+001	2.000000000e+000
1.401600000e+002	1.499200000e+002	2.050000000e+001	4.000000000e+000
1.245600000e+002	1.220800000e+002	1.750000000e+001	3.000000000e+000
1.279700000e+002	1.365100000e+002	1.870000000e+001	4.000000000e+000
1.019300000e+002	1.094100000e+002	1.330000000e+001	2.000000000e+000
1.314700000e+002	1.272900000e+002	1.700000000e+001	3.000000000e+000
1.212700000e+002	1.204500000e+002	1.460000000e+001	2.000000000e+000
1.435500000e+002	1.519600000e+002	1.910000000e+001	3.000000000e+000
1.368900000e+002	1.325400000e+002	1.610000000e+001	2.000000000e+000
1.061100000e+002	1.143300000e+002	1.470000000e+001	2.000000000e+000
1.375400000e+002	1.413200000e+002	1.810000000e+001	3.000000000e+000
1.343300000e+002	8.376000000e+001	1.650000000e+001	2.000000000e+000
1.275900000e+002	1.182000000e+002	1.520000000e+001	2.000000000e+000
1.374400000e+002	1.402000000e+002	1.920000000e+001	4.000000000e+000
1.140900000e+002	1.135500000e+002	1.410000000e+001	2.000000000e+000
1.454600000e+002	1.565200000e+002	2.030000000e+001	3.000000000e+000
1.419000000e+002	1.373500000e+002	1.950000000e+001	3.000000000e+000
1.163400000e+002	1.106100000e+002	1.340000000e+001	2.000000000e+000
1.492000000e+002	1.536900000e+002	1.850000000e+001	3.000000000e+000
1.418100000e+002	1.533300000e+002	1.780000000e+001	3.000000000e+000
1.164400000e+002	1.119500000e+002	1.440000000e+001	2.000000000e+000
1.377400000e+002	1.434600000e+002	2.040000000e+001	4.000000000e+000
1.447000000e+002	1.421300000e+002	2.160000000e+001	5.000000000e+000
1.496600000e+002	1.554600000e+002	2.170000000e+001	4.000000000e+000
1.181700000e+002	1.354400000e+002	1.710000000e+001	2.000000000e+000
1.376600000e+002	1.273000000e+002	1.640000000e+001	3.000000000e+000
1.197000000e+002	1.137700000e+002	1.380000000e+001	2.000000000e+000
1.431200000e+002	1.411100000e+002	2.100000000e+001	5.000000000e+000
1.299100000e+002	1.300800000e+002	1.610000000e+001	2.000000000e+000
1.417800000e+002	1.393500000e+002	1.950000000e+001	4.000000000e+000
1.591900000e+002	1.600300000e+002	2.080000000e+001	5.000000000e+000
1.561300000e+002	1.528400000e+002	1.960000000e+001	3.000000000e+000
1.267200000e+002	1.222700000e+002	1.920000000e+001	4.000000000e+000
1.332200000e+002	1.458800000e+002	1.920000000e+001	4.000000000e+000
1.180900000e+002	1.154700000e+002	1.490000000e+001	2.000000000e+000
1.416300000e+002	1.357200000e+002	1.600000000e+001	2.000000000e+000
1.385600000e+002	1.361600000e+002	1.650000000e+001	3.000000000e+000
1.341000000e+002	1.449200000e+002	1.890000000e+001	4.000000000e+000
1.322400000e+002	1.312900000e+002	1.620000000e+001	3.000000000e+000
1.458200000e+002	1.385300000e+002	1.820000000e+001	3.000000000e+000
1.271500000e+002	1.240500000e+002	1.750000000e+001	3.000000000e+000
1.050700000e+002	1.079000000e+002	1.460000000e+001	2.000000000e+000
1.272000000e+002	1.234500000e+002	1.530000000e+001	3.000000000e+000
1.115600000e+002	1.117000000e+002	1.540000000e+001	2.000000000e+000
1.504100000e+002	1.451400000e+002	1.950000000e+001	3.000000000e+000
1.291500000e+002	1.204400000e+002	1.480000000e+001	3.000000000e+000
1.303100000e+002	1.368700000e+002	2.050000000e+001	4.000000000e+000
1.292300000e+002	1.403000000e+002	1.660000000e+001	3.000000000e+000
1.050600000e+002	1.137800000e+002	1.540000000e+001	2.000000000e+000
1.342100000e+002	1.412300000e+002	1.720000000e+001	3.000000000e+000
1.092500000e+002	1.048300000e+002	1.400000000e+001	2.000000000e+000
1.273500000e+002	1.187900000e+002	1.580000000e+001	3.000000000e+000
1.040100000e+002	1.120400000e+002	1.700000000e+001	3.000000000e+000
1.339400000e+002	1.372700000e+002	1.880000000e+001	4.000000000e+000
1.411300000e+002	1.457100000e+002	1.850000000e+001	3.000000000e+000
1.365300000e+002	1.383800000e+002	1.430000000e+001	2.000000000e+000
1.180400000e+002	1.094600000e+002	1.390000000e+001	2.000000000e+000
1.537000000e+002	1.446800000e+002	2.130000000e+001	4.000000000e+000
1.263100000e+002	1.332700000e+002	1.890000000e+001	4.000000000e+000
1.340200000e+002	1.332700000e+002	1.640000000e+001	2.000000000e+000
1.415600000e+002	1.503800000e+002	2.070000000e+001	3.000000000e+000
1.429600000e+002	1.352600000e+002	1.810000000e+001	3.000000000e+000
1.185300000e+002	1.126000000e+002	1.460000000e+001	2.000000000e+000
1.215900000e+002	1.142300000e+002	1.410000000e+001	2.000000000e+000
1.464000000e+002	1.532400000e+002	2.190000000e+001	4.000000000e+000
1.412500000e+002	1.258900000e+002	1.580000000e+001	3.000000000e+000
1.307300000e+002	1.356200000e+002	1.840000000e+001	3.000000000e+000
1.326500000e+002	1.388200000e+002	1.930000000e+001	3.000000000e+000
1.255700000e+002	1.294300000e+002	1.930000000e+001	4.000000000e+000
1.257400000e+002	1.364500000e+002	1.820000000e+001	3.000000000e+000
1.202200000e+002	1.267400000e+002	1.480000000e+001	2.000000000e+000
1.282900000e+002	1.300900000e+002	1.600000000e+001	2.000000000e+000
1.368900000e+002	1.326800000e+002	1.880000000e+001	3.000000000e+000
1.424300000e+002	1.428900000e+002	1.780000000e+001	3.000000000e+000
1.193100000e+002	1.270400000e+002	1.920000000e+001	3.000000000e+000
1.203700000e+002	1.314500000e+002	1.830000000e+001	4.000000000e+000
1.188300000e+002	1.145700000e+002	1.470000000e+001	2.000000000e+000
1.244900000e+002	1.295600000e+002	1.690000000e+001	3.000000000e+000
1.405700000e+002	1.495500000e+002	1.930000000e+001	4.000000000e+000
1.336200000e+002	1.408200000e+002	1.970000000e+001	2.000000000e+000
1.050500000e+002	1.115500000e+002	1.530000000e+001	2.000000000e+000
1.470900000e+002	1.427600000e+002	2.030000000e+001	5.000000000e+000
1.154300000e+002	1.242500000e+002	1.830000000e+001	3.000000000e+000
1.253700000e+002	1.323200000e+002	2.070000000e+001	3.000000000e+000
1.159700000e+002	1.214500000e+002	1.630000000e+001	2.000000000e+000
1.252100000e+002	1.324500000e+002	1.580000000e+001	3.000000000e+000
1.303700000e+002	1.358300000e+002	1.760000000e+001	3.000000000e+000
1.197500000e+002	1.257600000e+002	1.810000000e+001	4.000000000e+000
1.209300000e+002	1.258400000e+002	1.710000000e+001	3.000000000e+000
1.268000000e+002	1.353200000e+002	1.890000000e+001	3.000000000e+000
1.188200000e+002	1.201400000e+002	1.640000000e+001	2.000000000e+000
1.440800000e+002	1.475300000e+002	2.010000000e+001	4.000000000e+000
1.424900000e+002	1.449400000e+002	1.730000000e+001	3.000000000e+000
1.405500000e+002	1.360100000e+002	1.770000000e+001	4.000000000e+000
1.303600000e+002	1.193300000e+002	1.750000000e+001	4.000000000e+000
1.242700000e+002	1.311500000e+002	1.660000000e+001	3.000000000e+000
1.677300000e+002	1.723600000e+002	2.510000000e+001	5.000000000e+000
1.291900000e+002	1.371700000e+002	1.700000000e+001	2.000000000e+000
1.251800000e+002	1.247100000e+002	1.660000000e+001	3.000000000e+000
1.575100000e+002	1.486500000e+002	2.110000000e+001	4.000000000e+000
1.266700000e+002	1.285200000e+002	1.430000000e+001	2.000000000e+000
1.375700000e+002	1.320200000e+002	1.710000000e+001	4.000000000e+000
1.334600000e+002	1.280300000e+002	1.580000000e+001	2.000000000e+000
1.635700000e+002	1.680600000e+002	2.350000000e+001	5.000000000e+000
1.184600000e+002	1.149200000e+002	1.420000000e+001	2.000000000e+000
